t trk
3.935999999999999943e+01 4.855433557027240125e-04
3.935999999999999943e+01 4.855433557027240125e-04
3.967999999999999972e+01 4.514025207678959819e-04
3.967999999999999972e+01 4.514025207678959819e-04
3.967999999999999972e+01 4.514025207678959819e-04
3.967999999999999972e+01 4.514025207678959819e-04
4.000000000000000000e+01 3.936477960160779843e-04
4.000000000000000000e+01 3.936477960160779843e-04
4.000000000000000000e+01 3.936477960160779843e-04
4.000000000000000000e+01 3.936477960160779843e-04
4.032000000000000028e+01 3.301959718618559985e-04
4.032000000000000028e+01 3.301959718618559985e-04
4.032000000000000028e+01 3.301959718618559985e-04
4.032000000000000028e+01 3.301959718618559985e-04
4.064000000000000057e+01 2.626838784024979750e-04
4.064000000000000057e+01 2.626838784024979750e-04
4.064000000000000057e+01 2.626838784024979750e-04
4.064000000000000057e+01 2.626838784024979750e-04
4.096000000000000085e+01 1.833277895199799941e-04
4.096000000000000085e+01 1.833277895199799941e-04
4.096000000000000085e+01 1.833277895199799941e-04
4.096000000000000085e+01 1.833277895199799941e-04
4.128000000000000114e+01 9.760193152432859644e-05
4.128000000000000114e+01 9.760193152432859644e-05
4.128000000000000114e+01 9.760193152432859644e-05
4.128000000000000114e+01 9.760193152432859644e-05
4.160000000000000142e+01 3.337064405775860306e-05
4.160000000000000142e+01 3.337064405775860306e-05
4.160000000000000142e+01 3.337064405775860306e-05
4.160000000000000142e+01 3.337064405775860306e-05
4.192000000000000171e+01 -3.328571166408470205e-05
4.192000000000000171e+01 -3.328571166408470205e-05
4.192000000000000171e+01 -3.328571166408470205e-05
4.192000000000000171e+01 -3.328571166408470205e-05
4.224000000000000199e+01 -8.462988511322710203e-05
4.224000000000000199e+01 -8.462988511322710203e-05
4.224000000000000199e+01 -8.462988511322710203e-05
4.224000000000000199e+01 -8.462988511322710203e-05
4.256000000000000227e+01 -1.083557019563340036e-04
4.256000000000000227e+01 -1.083557019563340036e-04
4.256000000000000227e+01 -1.083557019563340036e-04
4.256000000000000227e+01 -1.083557019563340036e-04
4.288000000000000256e+01 -9.487818247564350444e-05
4.288000000000000256e+01 -9.487818247564350444e-05
4.288000000000000256e+01 -9.487818247564350444e-05
4.288000000000000256e+01 -9.487818247564350444e-05
4.320000000000000284e+01 -6.391204791248889807e-05
4.320000000000000284e+01 -6.391204791248889807e-05
4.320000000000000284e+01 -6.391204791248889807e-05
4.320000000000000284e+01 -6.391204791248889807e-05
4.352000000000000313e+01 -8.220844944025300564e-06
4.352000000000000313e+01 -8.220844944025300564e-06
4.352000000000000313e+01 -8.220844944025300564e-06
4.352000000000000313e+01 -8.220844944025300564e-06
4.384000000000000341e+01 7.646827762181270546e-05
4.384000000000000341e+01 7.646827762181270546e-05
4.384000000000000341e+01 7.646827762181270546e-05
4.384000000000000341e+01 7.646827762181270546e-05
4.415999999999999659e+01 1.999234154349090111e-04
4.415999999999999659e+01 1.999234154349090111e-04
4.415999999999999659e+01 1.999234154349090111e-04
4.415999999999999659e+01 1.999234154349090111e-04
4.447999999999999687e+01 3.490441776689369772e-04
4.447999999999999687e+01 3.490441776689369772e-04
4.447999999999999687e+01 3.490441776689369772e-04
4.447999999999999687e+01 3.490441776689369772e-04
4.479999999999999716e+01 4.963785856665189813e-04
4.479999999999999716e+01 4.963785856665189813e-04
4.479999999999999716e+01 4.963785856665189813e-04
4.479999999999999716e+01 4.963785856665189813e-04
4.511999999999999744e+01 6.365322878915369818e-04
4.511999999999999744e+01 6.365322878915369818e-04
4.511999999999999744e+01 6.365322878915369818e-04
4.511999999999999744e+01 6.365322878915369818e-04
4.543999999999999773e+01 7.424234919399659528e-04
4.543999999999999773e+01 7.424234919399659528e-04
4.543999999999999773e+01 7.424234919399659528e-04
4.543999999999999773e+01 7.424234919399659528e-04
4.575999999999999801e+01 8.100572112293899767e-04
4.575999999999999801e+01 8.100572112293899767e-04
4.575999999999999801e+01 8.100572112293899767e-04
4.575999999999999801e+01 8.100572112293899767e-04
4.607999999999999829e+01 8.398311647372200435e-04
4.607999999999999829e+01 8.398311647372200435e-04
