# time mean_radius area m_irreducible areal_radius
1.875200000000000102e+02 1.914106531000000055e+00 1.942298893999999905e+02 1.965726550999999933e+00 3.931453102999999949e+00
1.878400000000000034e+02 1.914636430000000056e+00 1.942361414000000082e+02 1.965758187999999906e+00 3.931516375999999813e+00
1.881599999999999966e+02 1.915151786000000023e+00 1.942421081999999899e+02 1.965788381000000085e+00 3.931576762000000169e+00
1.884799999999999898e+02 1.915651125999999982e+00 1.942476660000000095e+02 1.965816505000000047e+00 3.931633009000000012e+00
1.888000000000000114e+02 1.916135045000000092e+00 1.942528409999999894e+02 1.965842689999999893e+00 3.931685379999999785e+00
1.891200000000000045e+02 1.916602262000000056e+00 1.942575215999999898e+02 1.965866373999999972e+00 3.931732747999999944e+00
1.894399999999999977e+02 1.917054743000000006e+00 1.942618320999999924e+02 1.965888185000000066e+00 3.931776369000000049e+00
1.897599999999999909e+02 1.917492046000000006e+00 1.942657154999999989e+02 1.965907834000000021e+00 3.931815668000000041e+00
1.900800000000000125e+02 1.917908246000000094e+00 1.942687348999999983e+02 1.965923112000000028e+00 3.931846224000000056e+00
1.904000000000000057e+02 1.918309728000000103e+00 1.942713320999999951e+02 1.965936252999999967e+00 3.931872505999999934e+00
1.907199999999999989e+02 1.918699826000000108e+00 1.942737136000000078e+02 1.965948303000000008e+00 3.931896606000000016e+00
1.910399999999999920e+02 1.919077992999999926e+00 1.942758135999999922e+02 1.965958928000000050e+00 3.931917856000000100e+00
1.913600000000000136e+02 1.919446114000000092e+00 1.942777303000000018e+02 1.965968625999999997e+00 3.931937251999999994e+00
1.916800000000000068e+02 1.919798051999999977e+00 1.942790031000000113e+02 1.965975065999999938e+00 3.931950131999999876e+00
1.920000000000000000e+02 1.920135114999999892e+00 1.942797103999999990e+02 1.965978645000000080e+00 3.931957289000000078e+00
1.923199999999999932e+02 1.920461637999999915e+00 1.942801369000000022e+02 1.965980803000000110e+00 3.931961606000000220e+00
1.926399999999999864e+02 1.920778899000000095e+00 1.942803405999999882e+02 1.965981833000000067e+00 3.931963666000000135e+00
1.929600000000000080e+02 1.921087604000000004e+00 1.942803383000000110e+02 1.965981822000000045e+00 3.931963643000000008e+00
1.932800000000000011e+02 1.921386554999999996e+00 1.942800153000000023e+02 1.965980186999999990e+00 3.931960373999999980e+00
1.935999999999999943e+02 1.921676490000000070e+00 1.942793992999999944e+02 1.965977070999999965e+00 3.931954140999999847e+00
1.939199999999999875e+02 1.921959157000000085e+00 1.942785844999999938e+02 1.965972948000000109e+00 3.931945896000000218e+00
1.942400000000000091e+02 1.922231113999999907e+00 1.942773053999999888e+02 1.965966475999999963e+00 3.931932951999999926e+00
1.945600000000000023e+02 1.922494842999999953e+00 1.942757138999999995e+02 1.965958424000000093e+00 3.931916847000000104e+00
1.948799999999999955e+02 1.922751475999999959e+00 1.942738630999999998e+02 1.965949058999999943e+00 3.931898118999999969e+00
1.951999999999999886e+02 1.923004366000000021e+00 1.942719626999999889e+02 1.965939443999999980e+00 3.931878887999999961e+00
1.955200000000000102e+02 1.923250716999999943e+00 1.942697870000000080e+02 1.965928434999999919e+00 3.931856869999999837e+00
1.958400000000000034e+02 1.923492865999999912e+00 1.942674801000000002e+02 1.965916763000000067e+00 3.931833525000000051e+00
1.961599999999999966e+02 1.923733058000000051e+00 1.942651687000000038e+02 1.965905067000000006e+00 3.931810134000000012e+00
1.964799999999999898e+02 1.923967299000000075e+00 1.942625462999999968e+02 1.965891797999999913e+00 3.931783595999999825e+00
1.968000000000000114e+02 1.924197871999999920e+00 1.942597580000000050e+02 1.965877689999999900e+00 3.931755379999999800e+00
1.971200000000000045e+02 1.924425642000000103e+00 1.942568424000000107e+02 1.965862937000000032e+00 3.931725874000000065e+00
1.974399999999999977e+02 1.924651977999999986e+00 1.942538725999999940e+02 1.965847909999999921e+00 3.931695819999999841e+00
1.977599999999999909e+02 1.924877128999999965e+00 1.942508427999999867e+02 1.965832578999999969e+00 3.931665157999999938e+00
1.980800000000000125e+02 1.925100653999999967e+00 1.942477030999999954e+02 1.965816691999999977e+00 3.931633383999999953e+00
1.984000000000000057e+02 1.925322280999999913e+00 1.942444180999999901e+02 1.965800070000000010e+00 3.931600138999999938e+00
1.987199999999999989e+02 1.925544096999999955e+00 1.942411184999999989e+02 1.965783373000000056e+00 3.931566746000000112e+00
1.990399999999999920e+02 1.925766185999999935e+00 1.942377927000000000e+02 1.965766544000000060e+00 3.931533088000000120e+00
1.993600000000000136e+02 1.925986610999999904e+00 1.942342920000000106e+02 1.965748829000000031e+00 3.931497659000000144e+00
1.996800000000000068e+02 1.926207940000000063e+00 1.942307838000000118e+02 1.965731077000000049e+00 3.931462154000000098e+00
2.000000000000000000e+02 1.926431739999999948e+00 1.942273669999999868e+02 1.965713787000000101e+00 3.931427574000000202e+00
2.003199999999999932e+02 1.926661160000000095e+00 1.942242455999999891e+02 1.965697991000000089e+00 3.931395982999999816e+00
2.006399999999999864e+02 1.926893152999999970e+00 1.942211856000000125e+02 1.965682506999999912e+00 3.931365013999999825e+00
2.009600000000000080e+02 1.927125549999999965e+00 1.942180285999999967e+02 1.965666531000000106e+00 3.931333062000000211e+00
2.012800000000000011e+02 1.927359599000000090e+00 1.942148559000000034e+02 1.965650475999999980e+00 3.931300950999999877e+00
2.015999999999999943e+02 1.927594562999999983e+00 1.942116123000000130e+02 1.965634061000000044e+00 3.931268122000000087e+00
2.019199999999999875e+02 1.927830289000000086e+00 1.942082862000000034e+02 1.965617229000000021e+00 3.931234458000000043e+00
2.022400000000000091e+02 1.928068810000000077e+00 1.942050187000000108e+02 1.965600693999999926e+00 3.931201387999999852e+00
2.025600000000000023e+02 1.928312859999999906e+00 1.942019927000000052e+02 1.965585380000000049e+00 3.931170761000000180e+00
2.028799999999999955e+02 1.928562727000000088e+00 1.941992185999999947e+02 1.965571340999999972e+00 3.931142683000000027e+00
2.031999999999999886e+02 1.928817642000000054e+00 1.941966367999999932e+02 1.965558276000000104e+00 3.931116551000000126e+00
2.035200000000000102e+02 1.929076065000000062e+00 1.941941343999999958e+02 1.965545611000000026e+00 3.931091223000000134e+00
2.038400000000000034e+02 1.929338296999999924e+00 1.941917329000000052e+02 1.965533457999999900e+00 3.931066915999999800e+00
2.041599999999999966e+02 1.929605671000000022e+00 1.941895207000000028e+02 1.965522262999999992e+00 3.931044524999999901e+00
2.044799999999999898e+02 1.929874381000000083e+00 1.941872357000000022e+02 1.965510697999999890e+00 3.931021396999999862e+00
2.048000000000000114e+02 1.930145173000000103e+00 1.941849383999999930e+02 1.965499072000000069e+00 3.930998144000000138e+00
2.051200000000000045e+02 1.930420725999999920e+00 1.941828193999999996e+02 1.965488348000000052e+00 3.930976696000000103e+00
2.054399999999999977e+02 1.930700974000000070e+00 1.941808758999999895e+02 1.965478512000000011e+00 3.930957025000000105e+00
2.057599999999999909e+02 1.930987054999999897e+00 1.941791877999999940e+02 1.965469968999999928e+00 3.930939937999999856e+00
2.060800000000000125e+02 1.931279280000000043e+00 1.941777764999999931e+02 1.965462825999999996e+00 3.930925653000000075e+00
2.064000000000000057e+02 1.931574896000000097e+00 1.941764520000000118e+02 1.965456123000000055e+00 3.930912246000000110e+00
2.067199999999999989e+02 1.931872849999999975e+00 1.941751515999999924e+02 1.965449541999999994e+00 3.930899082999999905e+00
2.070399999999999920e+02 1.932176560000000043e+00 1.941741204999999866e+02 1.965444323000000049e+00 3.930888646000000097e+00
2.073600000000000136e+02 1.932485237000000078e+00 1.941733072000000107e+02 1.965440207000000106e+00 3.930880413000000129e+00
2.076800000000000068e+02 1.932798476000000099e+00 1.941726887000000090e+02 1.965437077000000032e+00 3.930874154000000065e+00
2.080000000000000000e+02 1.933113370999999914e+00 1.941720699999999908e+02 1.965433945000000016e+00 3.930867891000000114e+00
2.083199999999999932e+02 1.933429569999999931e+00 1.941714408999999932e+02 1.965430761999999998e+00 3.930861522999999913e+00
2.086399999999999864e+02 1.933749267000000049e+00 1.941709684999999865e+02 1.965428369999999925e+00 3.930856740999999932e+00
2.089600000000000080e+02 1.934074853999999899e+00 1.941708247999999912e+02 1.965427642999999946e+00 3.930855286999999976e+00
2.092800000000000011e+02 1.934404440000000003e+00 1.941708814000000132e+02 1.965427929999999934e+00 3.930855859999999868e+00
2.095999999999999943e+02 1.934737995999999960e+00 1.941711459999999931e+02 1.965429268999999923e+00 3.930858537999999847e+00
2.099199999999999875e+02 1.935074613999999915e+00 1.941715641000000119e+02 1.965431385000000031e+00 3.930862770000000062e+00
2.102400000000000091e+02 1.935413139000000005e+00 1.941720650999999975e+02 1.965433921000000028e+00 3.930867842000000056e+00
2.105600000000000023e+02 1.935755040000000093e+00 1.941727653000000089e+02 1.965437464999999939e+00 3.930874928999999796e+00
2.108799999999999955e+02 1.936098246000000023e+00 1.941735305999999923e+02 1.965441337999999982e+00 3.930882674999999882e+00
2.111999999999999886e+02 1.936442685000000052e+00 1.941743698999999879e+02 1.965445585000000106e+00 3.930891170000000212e+00
2.115200000000000102e+02 1.936788729000000098e+00 1.941753195000000005e+02 1.965450391000000074e+00 3.930900782000000149e+00
2.118400000000000034e+02 1.937138122999999990e+00 1.941765109000000109e+02 1.965456421000000065e+00 3.930912842000000129e+00
2.121599999999999966e+02 1.937490160000000072e+00 1.941779033999999911e+02 1.965463468999999908e+00 3.930926937000000176e+00
2.124799999999999898e+02 1.937841474999999924e+00 1.941792738999999983e+02 1.965470405000000031e+00 3.930940808999999980e+00
2.128000000000000114e+02 1.938194100000000031e+00 1.941807775000000049e+02 1.965478014000000107e+00 3.930956028000000213e+00
2.131200000000000045e+02 1.938549588000000101e+00 1.941825288999999941e+02 1.965486878000000104e+00 3.930973756000000208e+00
2.134399999999999977e+02 1.938905003999999987e+00 1.941843302999999992e+02 1.965495994999999940e+00 3.930991989999999880e+00
2.137599999999999909e+02 1.939261069999999920e+00 1.941862439999999879e+02 1.965505679000000061e+00 3.931011359000000205e+00
2.140800000000000125e+02 1.939619543999999918e+00 1.941883974000000137e+02 1.965516577999999903e+00 3.931033155000000168e+00
2.144000000000000057e+02 1.939976501000000075e+00 1.941905241999999987e+02 1.965527341000000039e+00 3.931054682000000078e+00
2.147199999999999989e+02 1.940331715999999984e+00 1.941926253000000031e+02 1.965537974999999937e+00 3.931075948999999792e+00
2.150399999999999920e+02 1.940686818000000091e+00 1.941948256000000015e+02 1.965549108999999905e+00 3.931098218999999894e+00
2.153600000000000136e+02 1.941042683000000046e+00 1.941971920999999952e+02 1.965561085999999902e+00 3.931122171999999804e+00
2.156800000000000068e+02 1.941399949000000014e+00 1.941997700999999950e+02 1.965574131999999974e+00 3.931148263999999948e+00
2.160000000000000000e+02 1.941754543000000055e+00 1.942022838999999976e+02 1.965586854000000105e+00 3.931173708000000211e+00
