t re(Psi4_2_0) im(Psi4_2_0)  
4.896000000000000085e+01 6.324961327122136000e-12 5.048814387002659503e-17
4.911999999999999744e+01 6.296452001885295510e-12 5.169322771759384517e-17
4.928000000000000114e+01 6.273902021978550866e-12 5.244177195469897755e-17
4.943999999999999773e+01 6.270870048986412485e-12 5.300235947393233305e-17
4.960000000000000142e+01 6.279220885958142289e-12 5.321384054412476427e-17
4.975999999999999801e+01 6.298954532893709583e-12 5.307621515992918711e-17
4.992000000000000171e+01 6.330070989793147486e-12 5.258948332015260352e-17
5.007999999999999829e+01 6.365307360808006659e-12 5.159876333070827280e-17
5.024000000000000199e+01 6.409021383447553000e-12 5.019698421369364355e-17
5.039999999999999858e+01 6.461213057711584560e-12 4.838414595738313042e-17
5.056000000000000227e+01 6.521882383600067412e-12 4.616024856786251179e-17
5.071999999999999886e+01 6.570526965694387891e-12 4.438475254435434594e-17
5.088000000000000256e+01 6.619448241245939733e-12 4.254198158687125760e-17
5.103999999999999915e+01 6.668646210254462019e-12 4.063193569355866559e-17
5.120000000000000284e+01 6.718120872720224552e-12 3.865461487119755663e-17
5.135999999999999943e+01 6.751002547577917089e-12 3.660755591827133773e-17
5.152000000000000313e+01 6.777413043466728846e-12 3.449223676917656984e-17
5.167999999999999972e+01 6.797352360386644474e-12 3.230865740744220087e-17
5.184000000000000341e+01 6.810820498337523417e-12 3.005681783396636745e-17
5.200000000000000000e+01 6.815664491871465992e-12 2.843058910644748953e-17
5.215999999999999659e+01 6.813176120257309107e-12 2.701364859089588872e-17
5.232000000000000028e+01 6.803355383495018833e-12 2.580599629005883781e-17
5.247999999999999687e+01 6.786202281584377066e-12 2.480763219489955921e-17
5.264000000000000057e+01 6.771104318868595370e-12 2.398600632299514897e-17
5.279999999999999716e+01 6.752428992741952955e-12 2.336064866829562611e-17
5.296000000000000085e+01 6.730176303204473247e-12 2.293155922540145962e-17
5.311999999999999744e+01 6.704346250255858171e-12 2.269873799582504991e-17
5.328000000000000114e+01 6.683863646026029501e-12 2.284564320936004211e-17
5.343999999999999773e+01 6.663373603236930775e-12 2.326219992438585428e-17
5.360000000000000142e+01 6.642876121888623384e-12 2.394840815035419257e-17
5.375999999999999801e+01 6.622371201981263235e-12 2.490426787037401040e-17
5.392000000000000171e+01 6.602424528155535547e-12 2.561168937797648258e-17
5.407999999999999829e+01 6.582696689627070224e-12 2.638152649987776773e-17
5.424000000000000199e+01 6.563187686395506183e-12 2.721377923503403953e-17
5.439999999999999858e+01 6.543897518461273169e-12 2.810844758636561793e-17
5.456000000000000227e+01 6.520486169582845090e-12 2.891560561411143246e-17
5.471999999999999886e+01 6.495557649504949062e-12 2.972520888364073290e-17
5.488000000000000256e+01 6.469111958227761992e-12 3.053725738426966786e-17
5.503999999999999915e+01 6.441149095751066583e-12 3.135175113396009479e-17
5.520000000000000284e+01 6.411960820772800659e-12 3.204065055862449050e-17
5.535999999999999943e+01 6.381372078074345475e-12 3.268077939495599006e-17
5.552000000000000313e+01 6.349382867655290671e-12 3.327213765105921483e-17
5.567999999999999972e+01 6.315993189516209781e-12 3.381472531590869966e-17
5.584000000000000341e+01 6.290093472651902323e-12 3.456164234539003679e-17
5.600000000000000000e+01 6.266349459665518960e-12 3.536102876802617683e-17
5.615999999999999659e+01 6.244761150556926406e-12 3.621288458801390913e-17
5.632000000000000028e+01 6.225328545326171511e-12 3.711720980003379050e-17
5.647999999999999687e+01 6.218371685173212480e-12 3.856653253351702274e-17
5.664000000000000057e+01 6.217698545377973254e-12 4.026533592014533193e-17
