t re(Psi4_2_0) im(Psi4_2_0)  
3.679999999999999716e+01 5.882106983369036739e-12 2.189180521889258931e-17
3.696000000000000085e+01 5.788896774062704056e-12 1.939828546454215638e-17
3.711999999999999744e+01 5.687293550622288745e-12 1.631691695258155789e-17
3.728000000000000114e+01 5.599714651559555780e-12 1.286525403047207874e-17
3.743999999999999773e+01 5.515764901970800943e-12 8.958335279007060730e-18
3.760000000000000142e+01 5.460959885560312479e-12 6.423902095456114554e-18
3.775999999999999801e+01 5.451166019991753205e-12 6.491899029099924594e-18
3.792000000000000171e+01 5.388798628529543155e-12 5.298018348601953800e-18
3.807999999999999829e+01 5.282404122710477304e-12 4.200404666004673097e-18
3.824000000000000199e+01 5.135717521123753331e-12 4.093328192754972676e-18
3.839999999999999858e+01 4.854537326967709300e-12 5.563130889582868280e-18
3.856000000000000227e+01 4.679832854956802971e-12 6.721776285530746965e-18
3.871999999999999886e+01 4.509467198087285560e-12 8.216154456906794522e-18
3.888000000000000256e+01 4.281926436482970607e-12 9.207772873385709772e-18
3.903999999999999915e+01 3.829994676395337163e-12 9.260702827833072303e-18
3.920000000000000284e+01 3.594596439938169396e-12 9.795604174397175087e-18
3.935999999999999943e+01 3.426479957314759094e-12 1.031670755728139220e-17
3.952000000000000313e+01 3.345496751913430693e-12 1.035427432384334294e-17
3.967999999999999972e+01 3.380920202464606255e-12 1.079215993426581518e-17
3.984000000000000341e+01 3.460575053233619613e-12 1.002378955236217744e-17
4.000000000000000000e+01 3.623234931306392796e-12 8.536624882622806533e-18
4.015999999999999659e+01 3.941705926514684674e-12 7.306376502793068150e-18
4.032000000000000028e+01 4.430718221058363729e-12 7.222369439279989118e-18
4.047999999999999687e+01 4.876084607860019813e-12 6.805626197197896631e-18
4.064000000000000057e+01 5.364016020564924658e-12 6.506072703382308147e-18
4.079999999999999716e+01 5.839711638754793104e-12 6.397516763305805440e-18
4.096000000000000085e+01 6.145407665239132694e-12 6.176800273274013286e-18
4.111999999999999744e+01 6.439347728587024218e-12 6.347423035144472241e-18
4.128000000000000114e+01 6.670189430982153172e-12 6.750035737908032837e-18
4.143999999999999773e+01 6.851574200646526525e-12 6.961808356494940711e-18
4.160000000000000142e+01 6.981077192579637754e-12 6.725003856046882082e-18
4.175999999999999801e+01 7.003838104914330795e-12 6.177257502697947633e-18
4.192000000000000171e+01 6.927976678205421637e-12 5.343162762965466203e-18
4.207999999999999829e+01 6.860854783237605885e-12 4.948548983144668899e-18
4.224000000000000199e+01 6.951112415780775653e-12 5.694062347269664938e-18
4.239999999999999858e+01 6.873141682831698876e-12 6.054541663126806499e-18
4.256000000000000227e+01 6.726715348364905035e-12 6.537815789479174553e-18
4.271999999999999886e+01 6.408951720465754801e-12 7.099392475995749155e-18
4.288000000000000256e+01 5.850711188262858532e-12 8.045716311478244957e-18
4.303999999999999915e+01 5.329275038518040876e-12 9.005559832392601962e-18
4.320000000000000284e+01 4.754756407648996245e-12 1.007821369615212491e-17
4.335999999999999943e+01 4.038993301763502442e-12 1.094929809409827948e-17
4.352000000000000313e+01 3.041099201641086733e-12 1.089569866146121943e-17
4.367999999999999972e+01 2.240558778650486980e-12 1.120017876547415906e-17
4.384000000000000341e+01 1.488766864144276662e-12 1.147572908048191243e-17
4.400000000000000000e+01 1.004871261568163127e-12 1.238781381614104448e-17
4.415999999999999659e+01 8.794002923347307638e-13 1.364641480877167373e-17
4.432000000000000028e+01 8.061279239332404705e-13 1.441263973515686111e-17
4.447999999999999687e+01 8.954276197115960394e-13 1.494983023006028323e-17
4.464000000000000057e+01 1.235402555454561462e-12 1.519458270638983973e-17
4.479999999999999716e+01 1.844822300484849335e-12 1.565086774444464622e-17
4.496000000000000085e+01 2.453040546477903050e-12 1.502713482782047226e-17
4.511999999999999744e+01 3.146347471144062409e-12 1.376104276844027051e-17
4.528000000000000114e+01 3.685465770465165288e-12 1.240736275864380318e-17
4.543999999999999773e+01 3.819369301157743181e-12 9.785632081006663737e-18
4.560000000000000142e+01 4.131234161346465876e-12 9.049170424035918950e-18
4.575999999999999801e+01 4.411229277194818299e-12 9.120438678946432729e-18
4.592000000000000171e+01 4.513588164086281702e-12 1.034498244611874493e-17
4.607999999999999829e+01 4.309186729684548240e-12 1.192903888883120026e-17
4.624000000000000199e+01 4.209132058916241044e-12 1.432371955717521401e-17
4.639999999999999858e+01 4.058768251755572792e-12 1.743256018940717222e-17
4.656000000000000227e+01 3.867599496810301805e-12 2.036966742246650703e-17
4.671999999999999886e+01 3.750971999864737859e-12 2.433974662580181139e-17
4.688000000000000256e+01 3.494119972418404089e-12 2.611767507515051902e-17
4.703999999999999915e+01 3.159991858104997568e-12 2.679899647014513982e-17
4.720000000000000284e+01 2.835550120860333468e-12 2.643202294028374906e-17
4.735999999999999943e+01 2.674975571943535171e-12 2.556472784220056573e-17
4.752000000000000313e+01 2.372351624361949522e-12 2.407928228282380818e-17
4.767999999999999972e+01 2.036669574955029528e-12 2.197727209361056060e-17
4.784000000000000341e+01 1.894992273528951659e-12 2.025369756290447655e-17
4.800000000000000000e+01 2.134532980239784773e-12 1.790992350701618495e-17
4.815999999999999659e+01 2.252368760619765675e-12 1.691516578706285788e-17
4.832000000000000028e+01 2.437356156889639248e-12 1.659432597076909889e-17
4.847999999999999687e+01 2.737114559067315210e-12 1.622786378213951844e-17
4.864000000000000057e+01 3.101457715796903104e-12 1.536398703981458127e-17
4.879999999999999716e+01 3.474375421498522019e-12 1.520530883988288112e-17
4.896000000000000085e+01 3.899562184337016077e-12 1.534012310437390603e-17
